"rt","stimulus","response","participant","trial"
3203,"videos/fs2o.mp4",30,78,5
2527,"dot2_52",60,78,6
15956,"videos/fs1yo.mp4",17,79,1
7519,"dot1_13_26",18,79,2
2779,"videos/fs2y.mp4",12,79,3
2777,"dot2_26",23,79,4
3089,"videos/fs2o.mp4",22,79,5
5644,"dot2_52",26,79,6
6517.29999999702,"videos/fs1yo.mp4",28,80,1
3830.10000000149,"dot1_13_26",38,80,2
5576.5,"videos/fs2y.mp4",30,80,3
2406.39999999851,"dot2_26",25,80,4
7535.30000000075,"videos/fs2o.mp4",17,80,5
4054.80000000075,"dot2_52",50,80,6
9099,"videos/fs2yo.mp4",25,81,1
16620,"dot2_26_52",55,81,2
10599,"videos/fs1y.mp4",8,81,3
9003,"dot1_13",12,81,4
6945,"videos/fs1o.mp4",16,81,5
6652,"dot1_26",24,81,6
12545.599999994,"videos/fs1yo.mp4",32,82,1
13106.8000000119,"dot1_13_26",30,82,2
22656.8999999911,"videos/fs2y.mp4",9,82,3
7145.39999999106,"dot2_26",30,82,4
5910.59999999404,"videos/fs2o.mp4",19,82,5
3381,"dot2_52",40,82,6
10008,"videos/fs1yo.mp4",15,83,1
13116.8999999985,"dot1_13_26",20,83,2
2939.09999999963,"videos/fs2y.mp4",10,83,3
32507.8000000007,"dot2_26",26,83,4
4569.69999999925,"videos/fs2o.mp4",18,83,5
49261.3000000007,"dot2_52",52,83,6
81914.5,"videos/fs1yo.mp4",5,84,1
40262.2999999523,"dot1_13_26",20,84,2
3565.89999985695,"videos/fs2y.mp4",8,84,3
4131.60000014305,"dot2_26",50,84,4
52694.0999999046,"videos/fs2o.mp4",20,84,5
4610.60000014305,"dot2_52",35,84,6
11452.8999999762,"videos/fs2yo.mp4",21,85,1
161106.700000048,"dot2_26_52",11,85,2
3655.69999992847,"videos/fs1y.mp4",5,85,3
5824.20000004768,"dot1_13",14,85,4
5455.70000004768,"videos/fs1o.mp4",25,85,5
7371.89999997616,"dot1_26",20,85,6
12707,"videos/fs1yo.mp4",25,86,1
20568.6000000238,"dot1_13_26",20,86,2
7079.59999999404,"videos/fs2y.mp4",13,86,3
7492.30000001192,"dot2_26",23,86,4
5335.90000000596,"videos/fs2o.mp4",17,86,5
4663.40000000596,"dot2_52",32,86,6
18293,"videos/fs2yo.mp4",18,87,1
9896,"dot2_26_52",35,87,2
5135,"videos/fs1y.mp4",7,87,3
5749,"dot1_13",15,87,4
6145,"videos/fs1o.mp4",20,87,5
4276,"dot1_26",30,87,6
8527.90000000596,"videos/fs1yo.mp4",13,88,1
5437.60000000149,"dot1_13_26",20,88,2
6349.5,"videos/fs2y.mp4",8,88,3
4563.60000000149,"dot2_26",15,88,4
10698,"videos/fs2o.mp4",8,88,5
27789.400000006,"dot2_52",20,88,6
5231,"videos/fs2yo.mp4",33,89,1
7178,"dot2_26_52",200,89,2
2573,"videos/fs1y.mp4",5,89,3
2552,"dot1_13",12,89,4
3090,"videos/fs1o.mp4",50,89,5
3115,"dot1_26",40,89,6
28038.3000000119,"videos/fs2yo.mp4",17,90,1
11649.299999997,"dot2_26_52",45,90,2
4048.5,"videos/fs1y.mp4",8,90,3
2988.20000000298,"dot1_13",14,90,4
15340.3000000119,"videos/fs1o.mp4",19,90,5
9134.30000001192,"dot1_26",25,90,6
27253.1000003815,"videos/fs2yo.mp4",18,91,1
16620.3999996185,"dot2_26_52",50,91,2
83913.6999998093,"videos/fs1y.mp4",20,91,3
11537.0999994278,"dot1_13",16,91,4
4037.5,"videos/fs1o.mp4",19,91,5
8183.5999994278,"dot1_26",35,91,6
4241.09999999404,"videos/fs1yo.mp4",22,92,1
3808.40000000596,"dot1_13_26",25,92,2
2603.20000000298,"videos/fs2y.mp4",16,92,3
2863.5,"dot2_26",35,92,4
1162.39999999106,"videos/fs2o.mp4",30,92,5
1086,"dot2_52",50,92,6
10939.2000000477,"videos/fs2yo.mp4",25,93,1
11838.9000000954,"dot2_26_52",26,93,2
3969.89999985695,"videos/fs1y.mp4",17,93,3
4375.29999995232,"dot1_13",14,93,4
3772.5,"videos/fs1o.mp4",29,93,5
5180.70000004768,"dot1_26",39,93,6
8113.09999999404,"videos/fs1yo.mp4",9,94,1
5351,"dot1_13_26",35,94,2
10549.099999994,"videos/fs2y.mp4",13,94,3
3784.09999999404,"dot2_26",35,94,4
2130.59999999404,"videos/fs2o.mp4",20,94,5
1878.5,"dot2_52",50,94,6
4959.69999998808,"videos/fs1yo.mp4",20,95,1
6547,"dot1_13_26",30,95,2
4810.60000002384,"videos/fs2y.mp4",8,95,3
2907.30000001192,"dot2_26",25,95,4
4657,"videos/fs2o.mp4",18,95,5
3778.90000000596,"dot2_52",40,95,6
6403.79999995232,"videos/fs1yo.mp4",10,96,1
5757.90000009537,"dot1_13_26",35,96,2
2903.40000009537,"videos/fs2y.mp4",8,96,3
4342.29999995232,"dot2_26",30,96,4
2831,"videos/fs2o.mp4",13,96,5
4607.40000009537,"dot2_52",50,96,6
4847.10000014305,"videos/fs1yo.mp4",21,97,1
6414.40000009537,"dot1_13_26",40,97,2
2357.60000014305,"videos/fs2y.mp4",7,97,3
2255.59999990463,"dot2_26",30,97,4
3621.10000014305,"videos/fs2o.mp4",17,97,5
2856,"dot2_52",50,97,6
13259.1000000006,"videos/fs1yo.mp4",28,98,1
19678.7000000002,"dot1_13_26",18,98,2
5031.19999999925,"videos/fs2y.mp4",8,98,3
6089.79999999981,"dot2_26",21,98,4
6354.10000000056,"videos/fs2o.mp4",20,98,5
2581,"dot2_52",30,98,6
4193.20000000298,"videos/fs2yo.mp4",20,99,1
5648.70000000298,"dot2_26_52",25,99,2
6368,"videos/fs1y.mp4",8,99,3
3281,"dot1_13",15,99,4
2815.10000000149,"videos/fs1o.mp4",32,99,5
2449.09999999404,"dot1_26",20,99,6
3178.60000000894,"videos/fs1yo.mp4",12,100,1
3837.70000000298,"dot1_13_26",25,100,2
13745.200000003,"videos/fs2y.mp4",10,100,3
1639.90000000596,"dot2_26",28,100,4
3379.70000000298,"videos/fs2o.mp4",8,100,5
3739.70000000298,"dot2_52",50,100,6
11842.8999999985,"videos/fs2yo.mp4",8,101,1
8012.5,"dot2_26_52",40,101,2
5170.5,"videos/fs1y.mp4",10,101,3
3273.60000000149,"dot1_13",13,101,4
